name,brand,url
Gel Cream,mecca-cosmetica,https://www.mecca.com/en-au/mecca-cosmetica/gel-cream-I-072674/?cgpath=skincare
Lip Butter Balm,summer-fridays,https://www.mecca.com/en-au/summer-fridays/lip-butter-balm-V-066238/?cgpath=skincare
DermInfusions™ Fill + Repair Eye Cream,dr-dennis-gross,https://www.mecca.com/en-au/dr-dennis-gross/derminfusions-fill-repair-eye-cream-I-075915/?cgpath=skincare
Superfood Cleanser,youth-to-the-people,https://www.mecca.com/en-au/youth-to-the-people/superfood-cleanser-V-076841/?cgpath=skincare
SOS Daily Balancing Gel Cleanser,tower-28,https://www.mecca.com/en-au/tower-28/sos-daily-balancing-gel-cleanser-I-069421/?cgpath=skincare
Pro-Collagen Cleansing Balm,elemis,https://www.mecca.com/en-au/elemis/pro-collagen-cleansing-balm-V-851286/?cgpath=skincare
Superfood Air-Whip Moisture Cream,youth-to-the-people,https://www.mecca.com/en-au/youth-to-the-people/superfood-air-whip-moisture-cream-V-076845/?cgpath=skincare
To Save Face SPF50+ Matte Sun Serum,mecca-cosmetica,https://www.mecca.com/en-au/mecca-cosmetica/to-save-face-spf50-matte-sun-serum-I-070609/?cgpath=skincare
The Dewy Skin Cream,tatcha,https://www.mecca.com/en-au/tatcha/the-dewy-skin-cream-V-852370/?cgpath=skincare
Take the Day Off Cleansing Balm,clinique,https://www.mecca.com/en-au/clinique/take-the-day-off-cleansing-balm-V-024143/?cgpath=skincare
Greek Yoghurt Foaming Cream Cleanser | Pre + Probiotics 150ml,korres,https://www.mecca.com/en-au/korres/greek-yoghurt-foaming-cream-cleanser-pre-probiotics-150ml-I-056981/?cgpath=skincare
Alpha Beta® Universal Daily  Peel,dr-dennis-gross,https://www.mecca.com/en-au/dr-dennis-gross/alpha-beta-universal-daily-peel-V-052382/?cgpath=skincare
Molecular Barrier Recovery Cream Balm,allies-of-skin,https://www.mecca.com/en-au/allies-of-skin/molecular-barrier-recovery-cream-balm-I-066524/?cgpath=skincare
To Save Face SPF50+ Superscreen,mecca-cosmetica,https://www.mecca.com/en-au/mecca-cosmetica/to-save-face-spf50-superscreen-V-059326/?cgpath=skincare
15% Vitamin C + Caffeine Energy Serum,youth-to-the-people,https://www.mecca.com/en-au/youth-to-the-people/15-vitamin-c-caffeine-energy-serum-I-076855/?cgpath=skincare
SOS Daily Rescue Facial Spray,tower-28,https://www.mecca.com/en-au/tower-28/sos-daily-rescue-facial-spray-V-069423/?cgpath=skincare
